elt_condition,pc_brand,pc_model,pc_cpu,pc_ram,pc_drive_capacity,usage_information,pc_vga,desktop_screen_size,elt_warranty,elt_origin,classify,price
Đã sử dụng (chưa sửa chữa),Sony,Dòng Khác,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,2.000.000 đ
Mới,Hãng Khác,Dòng Khác,,,,In trên bao bì,,,Bảo hành hãng,Việt Nam,laptop,3.400.000 đ
Đã sử dụng (chưa sửa chữa),Asus,X Series,Intel Core i3,8 GB,256 GB,In trên bao bì,Onboard,15 - 16.9 inch,1 tháng,Việt Nam,laptop,3.800.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Zenbook Series,Intel Pentium,2 GB,128 GB,In trên bao bì,AMD,13 - 14.9 inch,Hết bảo hành,Mỹ,laptop,450.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro M1,,8 GB,256 GB,In trên bao bì,,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,laptop,13.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i5,16 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,laptop,9.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,8 GB,128 GB,In trên bao bì,Khác,13 - 14.9 inch,3 tháng,Việt Nam,laptop,4.200.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,IdeaPad,Intel Core i3,8 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,Hết bảo hành,Trung Quốc,laptop,5.999.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Precision,Intel Core i7,16 GB,500 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,Hết bảo hành,Mỹ,laptop,2.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,16 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Mỹ,laptop,11.300.000 đ
Mới,Dell,Inspiron,,,,In trên bao bì,,,Bảo hành hãng,Mỹ,laptop,9.700.000 đ
Đã sử dụng (chưa sửa chữa),Asus,X Series,Intel Core i3,8 GB,> 1 TB,In trên bao bì,Onboard,15 - 16.9 inch,Hết bảo hành,Việt Nam,laptop,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i3,4 GB,256 GB,In trên bao bì,Onboard,15 - 16.9 inch,1 tháng,Mỹ,laptop,2.900.000 đ
Mới,HP,ZBook,Intel Core i7,16 GB,512 GB,In trên bao bì,AMD,15 - 16.9 inch,Hết bảo hành,Việt Nam,laptop,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i7,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,3.100.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Alienware,Intel Core i7,,,In trên bao bì,NVIDIA,,Bảo hành hãng,Đang cập nhật,laptop,38.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Precision,Intel Core i7,8 GB,128 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,1 tháng,Đang cập nhật,laptop,4.100.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Mỹ,laptop,7.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air,Intel Core i5,8 GB,< 128 GB,In trên bao bì,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,5.600.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro Touch Bar,Intel Core i7,16 GB,256 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,12.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i5,4 GB,500 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,1.600.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i5,8 GB,256 GB,In trên bao bì,NVIDIA,13 - 14.9 inch,Bảo hành hãng,Mỹ,laptop,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,19.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air,Intel Core i5,8 GB,128 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,5.700.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Precision,Intel Core i7,8 GB,256 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,laptop,7.100.000 đ
