,pc_brand,pc_model,elt_condition,elt_warranty,desktop_screen_size,pc_cpu,pc_ram,pc_vga,pc_drive_capacity,elt_origin,classify,price (VND),pc_cpu_label
5404,Acer,Aspire,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,AMD,4 GB,AMD,250 GB,Đài Loan,laptop,1500000.0,AMD
5405,HP,Elitebook,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Celeron,4 GB,Onboard,500 GB,Mỹ,laptop,1300000.0,Intel
5406,HP,Elitebook,Đã sử dụng (chưa sửa chữa),Hết bảo hành,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,640 GB,Nước khác,laptop,2000000.0,Intel
5407,HP,Elitebook,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,< 128 GB,Việt Nam,laptop,5300000.0,Intel
5408,Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Nước khác,laptop,12500000.0,Intel
5409,Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,512 GB,Nước khác,laptop,15990000.0,Intel
5410,Asus,Transformer Book,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i3,4 GB,AMD,500 GB,Nước khác,laptop,4500000.0,Intel
5411,HP,ProBook,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i3,8 GB,Onboard,250 GB,Nước khác,laptop,2950000.0,Intel
5412,Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,512 GB,Nước khác,laptop,15500000.0,Intel
5413,Apple,MacBook Pro M1,Đã sử dụng (chưa sửa chữa),>12 tháng,13 - 14.9 inch,Apple M1,16 GB,Onboard,1 TB,Nước khác,laptop,27000000.0,Apple
5414,Asus,X Series,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,128 GB,Nước khác,laptop,3500000.0,Intel
5415,Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,256 GB,Nước khác,laptop,7990000.0,Intel
5416,Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Nước khác,laptop,4200000.0,Intel
5417,Dell,Vostro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,250 GB,Nước khác,laptop,3800000.0,Intel
5418,HP,ProBook,Đã sử dụng (chưa sửa chữa),Còn bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,5790000.0,Intel
5419,Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,laptop,3000000.0,Intel
